gene_id,lfc_10cGy,padj_10cGy,deg_10cGy,dir_10cGy,lfc_100cGy,padj_100cGy,deg_100cGy,dir_100cGy,dose_category
AT1G02405,-0.196108896211978,,no,none,0.0150538320637056,0.978585187051476,no,none,neither
AT1G02410,0.0439343573049124,0.461878536439898,no,none,0.0508879502622239,0.4043013560053,no,none,neither
AT1G02420,0.173531212801442,0.435604801818234,no,none,-0.122664485959209,0.635637052365447,no,none,neither
AT1G02430,1.39803819634013,,no,none,1.28228036325835,0.193652641881425,no,none,neither
AT1G02440,1.1133246303984,,no,none,0.398348145911888,0.659792444428182,no,none,neither
AT1G02450,-0.209690593904037,0.619818708269127,no,none,-0.0100576858402602,0.985586960254078,no,none,neither
AT1G02460,-0.0306410494919572,0.907838810185417,no,none,0.0780280958565517,0.761604021238539,no,none,neither
AT1G02470,0.20076376821744,0.744141070500877,no,none,0.573405906724293,0.276170657680959,no,none,neither
AT1G02475,0.100968169151925,0.0487980604779838,no,none,0.0546106412525073,0.361780638675443,no,none,neither
AT1G02490,0.1303920804374,,no,none,0.257497527857023,,no,none,neither
AT1G02500,-0.00856071223615423,0.919783870545181,no,none,-0.0281209263848972,0.729050278292051,no,none,neither
AT1G02520,0.58826446546776,0.0881946047898806,no,none,0.446225650456868,0.234314476594438,no,none,neither
AT1G02530,-0.0868445494041211,,no,none,0.0834587391015593,0.893700738197279,no,none,neither
AT1G02560,-0.0124183597376991,0.790401561948796,no,none,-0.0684004055275797,0.0573479104918462,no,none,neither
AT1G02570,0.493448514088944,,no,none,0.0101844409878452,,no,none,neither
AT1G02580,0.88335746703689,,no,none,1.48166150061122,0.121714482643676,no,none,neither
AT1G02610,0.924755630260898,0.00319133272352432,no,none,0.706658628339626,0.0336453231969238,no,none,neither
AT1G02620,0.681943459676692,,no,none,0.0919970154297752,0.923462556170052,no,none,neither
AT1G02630,-0.0485714166060341,0.928386686548413,no,none,0.0482265243846075,0.934955902609112,no,none,neither
AT1G02640,0.0453919141075862,0.82562095306168,no,none,0.0806007134843773,0.693235786111359,no,none,neither
AT1G02650,0.223894644037084,0.556043251000066,no,none,-0.011266471016511,0.983278081092417,no,none,neither
