gene_id,baseMean_old,log2FC_old,padj_old,deg_flag_old,baseMean_new,log2FC_new,padj_new,deg_flag_new,status,direction_change
AT1G14510,656.6187114,0.027949898,0.752027307,no,537.438380947871,0.0341587866443427,0.695125451446174,no,both_non_DEG,
AT1G14520,60.25399712,0.124731048,0.539928787,no,48.5741879301742,0.134414933897272,0.521285137971509,no,both_non_DEG,
AT1G14530,82.9698413,0.086002037,0.40756035,no,67.1174786061903,0.0952674558981348,0.365277291388224,no,both_non_DEG,
AT1G14540,83.0180498,1.508419778,1.52e-06,yes,67.1806470313977,1.5394083068587,1.6999941086295e-06,yes,both_DEG,same_direction
AT1G14550,4.846105633,0.932823461,0.006691476,yes,3.19750344464019,1.18845055355936,0.0085643890830176,yes,both_DEG,same_direction
AT1G14560,186.6562719,0.041338659,0.564493887,no,151.993123998176,0.0429455193915841,0.540640521133971,no,both_non_DEG,
AT1G14570,717.4611278,-0.045225172,0.228473015,no,586.596158747491,-0.0371879914891862,0.334063177993223,no,both_non_DEG,
AT1G14580,274.9785888,-0.329944176,9.92e-07,yes,224.324361164293,-0.329127682505669,1.42556505556599e-06,no,lost_DEG,
AT1G14590,110.0612523,-0.00769614,0.957667516,no,89.3251062230067,-0.00817769801687924,0.958114924176963,no,both_non_DEG,
AT1G14600,45.81655384,-0.159266242,0.193609783,no,36.7311712088532,-0.170124784959526,0.1771750869691,no,both_non_DEG,
AT1G14610,2316.558499,-0.059801474,0.196749771,no,1895.78423305612,-0.0563738219445765,0.229622488396245,no,both_non_DEG,
AT1G14620,354.6484752,-0.093496257,0.019528389,yes,289.573181423914,-0.0887443360127672,0.0276937025108372,no,lost_DEG,
AT1G14630,57.45014602,0.493227005,0.003002016,yes,46.230081426601,0.499266237079279,0.00351575213387983,no,lost_DEG,
AT1G14640,47.8551396,0.761964635,1.66e-08,yes,38.388875481909,0.786685174318476,1.23982930925724e-08,no,lost_DEG,
AT1G14642,,,,,0.956869838184156,0.618385678359117,0.273821007836879,no,,
AT1G14650,1003.02897,0.025221326,0.636173735,no,821.459072165965,0.0293531208417643,0.576009673363913,no,both_non_DEG,
AT1G14660,60.34446745,0.111385476,0.162491126,no,48.5819004575423,0.113939366986186,0.154140710761001,no,both_non_DEG,
AT1G14670,2008.159069,0.007176011,0.902440993,no,1643.97770493158,0.0113840857763382,0.841091941055007,no,both_non_DEG,
AT1G14680,21.60053793,0.116445817,0.424657218,no,16.8591355661288,0.158719570542114,0.305826647194519,no,both_non_DEG,
AT1G14685,474.8173568,-0.0417855,0.740791937,no,387.92896612737,-0.0358859801316373,0.782686291738335,no,both_non_DEG,
AT1G14686,1.936593856,0.102367841,0.834498496,no,0.782922851486089,0.344505368246981,0.679820345331136,no,both_non_DEG,
AT1G14687,28.77630668,-0.204070342,0.043904565,yes,22.725908803673,-0.219002407176364,0.0439511656371887,no,lost_DEG,
AT1G14690,415.4066729,0.007818198,0.909190056,no,339.288127798611,0.0125181440619586,0.85110955635166,no,both_non_DEG,
