gene_id,radiation_effect,genotype_interaction,Cs137_100cGy,Cs137_10cGy,GCR80,GCR40
AT2G40170,-0.757139951326379,-2.43306712749787,2.92192049309031,1.80695442853537,1.69267444793211,1.40617269895518
AT2G40340,1.45555332604872,-1.31517370265281,1.88804976392201,1.6249099203876,0.391926028725918,-0.102097149174616
AT2G41240,1.02602653439522,-2.11069863873938,-1.13060913993428,-1.08541769894163,,
AT2G41630,1.03405046511497,-1.55532549962182,0.0681225987292966,-0.0253512288736695,0.116931024566913,0.0400009180785121
AT2G42560,0.705187694114893,-4.21989472914349,3.56009490021648,2.22236166319897,,
AT2G43620,1.06520950578638,0.274239739367243,1.12014836713088,1.81800713014328,0.196496593072913,-0.0151363796146184
AT2G44370,0.500058739167113,-0.174954882907786,1.07007351305771,1.1251212469524,0.0487680412631353,-0.330528442710256
AT2G45460,2.48666744401297,-3.37196544453749,0.626878069916495,0.109250400988634,0.642533768494584,0.383160756679335
AT2G46400,3.63542243165592,-0.269559229738664,0.0899901230635353,-0.0337168793133277,-0.223987675912566,-0.45586512987543
AT2G46610,1.50787260554295,-2.424101214838,0.132863743011337,0.163042743961832,0.220417121899594,0.083661422346331
AT2G47680,2.19982884525428,-2.61657615331261,0.0876213126363914,0.10973864792377,-0.0378302477302971,-0.0952850232957253
AT2G47780,2.33695367216347,-2.52583698708984,0.0516394512361137,0.0840113869500716,-0.00711717479244568,-0.109067776811909
AT3G01600,3.41394210317279,-2.88752225928623,-0.439813570734987,-0.332037410785905,-0.282149981776235,-0.196157814501914
AT3G01830,2.57642007387867,-1.06985333927647,1.69007396424811,1.22680148712429,-0.0681265351804813,-4.06142814127717
AT3G02400,1.44987057510823,-2.13554537038679,0.273479446481127,0.131207170911784,0.48721146836817,0.587765371144309
AT3G02480,1.19513253732928,-0.545696374226098,1.80532794424122,1.26169991431835,2.25628629639249,1.52770321788924
AT3G02670,1.63512532143857,-3.59114701334435,0.413063530077754,0.386991966357706,,
AT3G02810,4.3859463146131,-2.40881158940066,,,-0.270508471689161,0.423972713807784
AT3G02840,3.74980790846355,-0.99975038959631,2.38485636687345,1.8065444272715,-0.0635369497163512,-0.18040570494869
AT3G04060,0.496169050048547,-1.38323905490918,1.17909368143196,0.714845567306516,0.390665643217804,0.178655574255128
AT3G07255,-0.323098988912634,0.0316108087580537,4.85008974590963,4.0145730119625,,
AT3G07800,2.89368313847987,-4.60761137895347,0.307194330823571,0.0123117381710884,1.42453531201488,0.806716382642356
AT3G09020,1.40317253005248,-1.75436163911079,0.549691543115665,0.534326047439532,-0.127670928204884,-0.111472321897948
AT3G09405,1.42330998849121,-1.56208373907991,0.047229042967825,-0.0364257161468068,0.4564861805983,0.409999374865353
AT3G09940,-0.0385683538140026,-0.0530273471748703,1.44964898360339,1.38634515421392,0.103302069902502,-0.527443008639979
AT3G10500,1.24763852168686,-1.78603432493593,0.185969936253516,0.0991112500181882,0.202242796144493,-0.0486497883261574
AT3G10815,0.371344819105181,-0.360032471398212,1.52287508227589,1.37831926624643,0.340239806965465,0.127706113046022
AT3G10930,3.29469517829965,-2.53391604717027,1.02171603605207,0.722546465004572,-0.226559326561598,-0.428239316646835
AT3G11340,0.129071861596311,-0.281124527491901,1.68298717786952,1.75580385158555,-0.288921970700128,-0.527940475689631
AT3G12410,4.35405667807678,-3.19960073481738,0.0225006368299239,-0.683654470550446,,
AT3G12510,1.3992610125576,-2.01931585235188,0.268104505273648,-0.0894918827548822,0.207862525563869,0.58216251830802
AT3G12910,2.14946726475662,-2.70005138649958,2.10663562044695,0.773497386969089,,
AT3G13080,1.64360524482967,-1.57087002081536,0.135550619233741,0.0999164514513863,-0.0512541234767517,-0.170395740591887
AT3G19150,1.46026236998546,-2.52003539968334,0.400785089722926,0.238983654552519,-0.200787703860968,-0.118868451206791
AT3G19210,1.11586781127632,-1.10509171752653,-0.225781102401038,-0.205020181520788,0.0100309897289899,-0.200551814648215
AT3G20490,1.19696748230784,-1.80817610370789,-0.0639273878171336,-0.057250620908779,0.124285226917465,0.060818129091518
AT3G21850,6.22079862319981,-3.27816827142704,,,,
AT3G21860,4.05452401983743,-3.71337858029995,,,0.0917012246797138,0.457284700110628
AT3G22910,2.95640567445487,-0.954003106506627,1.61295757246748,1.17744831858498,-0.261413410857119,-0.218271809491442
AT3G23250,2.36081608994429,0.367158185976648,1.35743111974208,1.45029773304569,-0.369225937859812,0.624030549103247
AT3G25250,2.0766075672638,-3.2038065475359,2.11323561889295,1.30511788105961,-0.463393754645724,-0.464592643164929
AT3G26200,1.04253110245567,0.604924587207433,1.83629537133359,1.23500474833879,-0.0788938539516912,-0.0232679630655512
AT3G27060,2.67368830337074,-3.95999838154942,0.142216050938344,-0.224928578775877,1.32248865661803,0.715309821998015
AT3G27070,1.52013757330537,-2.24801914808408,-0.180216639801628,0.202584038292362,0.30268131456185,-0.164778829862223
AT3G27630,6.01909821318164,-6.65479918940285,1.29600279862888,-0.294425080495228,2.18538477965024,0.75504312483136
AT3G28210,2.26739682480532,-2.18148049229543,1.65016522815679,0.905516302963398,0.516752974608083,0.653547676648894
AT3G28510,4.15159012028364,-2.31578183920037,0.68239778930557,0.166497075699561,-1.47651517423164,-1.5240684384119
AT3G29000,2.73859536354747,-0.522438061702891,1.00870876582912,0.671170609503864,0.670186516791527,-0.11509590340028
AT3G29340,4.31874469107143,-5.09299680589836,,,,
AT3G42850,1.16534057150298,-2.41223202981391,0.100088810920982,0.0629406468467777,0.197161600714691,0.0560846675844663
AT3G42860,1.57886023078237,-2.49177481092959,0.313551847323297,0.105253485595474,0.25902846442358,-0.0255295342387975
AT3G45060,-0.0709154218308375,-0.311909244351577,2.07607824888567,1.22028689886849,-0.743634274200022,0.153165456251996
AT3G45730,2.85893317416311,-3.77493536707075,0.960167884928483,0.522008279143382,0.775261428045519,0.631478863808104
AT3G46080,2.37328853548565,-1.43078283081837,2.1234291219388,1.6308847646259,0.597584719569473,0.604655162475924
AT3G47540,1.05233227783091,-1.26894701305732,-0.069209203881245,0.0291479829647985,-0.227621585846893,-0.49801148739895
AT3G48520,0.0683085624711293,-1.72459092990962,1.81059802910368,1.25644687343794,-0.0686546051248415,0.332231621506981
AT3G48770,4.20600550829933,-2.31976467643776,-0.179454497772005,-0.210322511835416,-0.637477429099687,-1.46427626341999
AT3G48960,2.88411911858219,-4.79711186249566,,,,
AT3G49130,1.8027242400084,-0.908170282863461,2.13093569922902,1.32383820545196,2.53372382516448,1.79597155302297
AT3G52115,2.19828215842513,-3.58593234782239,0.156301058504279,-0.22466950616684,0.770221556628718,0.696728901270592
AT3G53600,-0.12334060178052,-1.86928162159483,2.64792539730547,2.20137961094522,,
AT3G56920,2.85590487660187,-6.03689681783195,-0.371823425223939,-0.623194794432132,,
AT3G56970,0.910445373065778,-1.7255571355197,-1.27900935630454,-1.50908464527301,-0.794925824438108,0.616834501556802
AT3G56980,0.859717629689728,-0.89364515377901,-1.23695210876372,-1.29139699572885,-0.23520588460454,-0.809863773079379
AT3G58270,3.7217698335324,-3.40609452030363,0.605913338969499,0.206951196275542,0.750818915510885,0.520805570660311
AT3G60160,1.04712939143044,-1.62556961847233,0.0130553069796718,-0.0140359589919614,-0.443308270282813,-0.431710663126211
AT3G61190,1.28212482265809,-0.578018487659039,1.17061804836321,0.630731209633187,0.395892262926968,0.364733945725642
AT3G63380,1.21579979563667,-1.4112757962589,0.847329103972229,0.859189410661035,0.0438565642079023,0.141831029602348
AT4G01180,3.97814680308075,-0.437212645640131,,,,
AT4G01360,1.17354502580475,-0.745616859755212,1.3506911982174,1.08628481166163,-0.287343167741232,-0.417280000687601
AT4G02110,1.6453603091109,-2.84361819160781,-0.0190334713532916,-0.254462533415285,0.25250072257462,-0.169529027119611
AT4G02390,3.28647000506885,-4.44742300693396,0.921615846629924,-0.0385285956182505,2.5052116672992,1.74420290555468
AT4G05380,4.3516298420669,-3.56384798730969,-0.142681076221374,0.501014945325277,,
AT4G11170,2.72939292367495,0.628027544666898,1.36676644130531,1.4721039903442,-0.836321258622742,-0.0646870805178449
AT4G12735,1.1657065570619,-0.801175797662019,1.99622199381644,1.3202730708722,-1.10370550354189,-0.715726515962245
AT4G13395,2.81408434708448,-0.792201160583188,2.0029425375363,1.45901128782963,-0.155325309616321,-0.0781419640001541
AT4G13480,2.32001097978741,-3.63506673970896,0.639615486181961,0.935826024459015,,
AT4G14370,1.38465241915153,-0.433346233006675,1.91413765812917,1.19765775011257,0.277589480821419,0.216250458834112
AT4G17710,3.57497972159301,-3.10840662212264,0.246900822828612,-0.511371838100087,,
AT4G19130,2.0073232575986,-3.17333229019533,0.273584117200806,-0.253164672352599,1.12601590953564,0.755426764236108
AT4G21070,3.0896342659756,-4.4672762237427,0.140029524999147,-0.175125407017576,0.928398992404961,0.23391166156129
AT4G22960,5.1355408751806,-4.82211136270077,1.29860711200705,0.556068172198623,1.93889423629821,1.07674902049379
AT4G23140,4.26805116752656,-1.87437968405483,0.212903621489687,0.184481051378493,0.468168126005576,0.990196665035799
AT4G24110,1.29417681461487,0.535690223704697,1.03203135847308,0.962403652402847,-0.181606268116761,0.417243746598864
AT4G25330,6.66485118711428,-5.7235140540091,0.690310819390259,-0.303743347116661,,
