,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
AT4G24160,650.381088,0.615459225,0.098750135,6.232489941,4.59E-10,2.23E-08,yes
AT2G43570,102.8417584,0.765637142,0.122870474,6.231254065,4.63E-10,2.24E-08,yes
AT4G11521,23.55015786,0.993015531,0.159397226,6.229816884,4.67E-10,2.26E-08,yes
AT3G52920,488.6230745,-0.358653834,0.057627498,-6.223657929,4.86E-10,2.35E-08,yes
AT3G04220,19.2801914,1.329897561,0.213802405,6.22021797,4.96E-10,2.39E-08,yes
AT3G09980,587.6427461,-0.259886316,0.041790747,-6.218752522,5.01E-10,2.41E-08,yes
AT3G46110,37.99080593,1.001548204,0.16106205,6.2183997,5.02E-10,2.41E-08,yes
AT5G47220,126.5972581,1.640157369,0.26391404,6.214740861,5.14E-10,2.46E-08,yes
AT5G59450,301.5779023,0.571972468,0.092044346,6.214096727,5.16E-10,2.47E-08,yes
AT5G57220,177.4796237,1.742980367,0.280514397,6.213514827,5.18E-10,2.47E-08,yes
AT1G76970,133.1696911,0.500714699,0.080615289,6.211162978,5.26E-10,2.50E-08,yes
AT1G05710,194.294589,0.739774752,0.119122683,6.210192168,5.29E-10,2.52E-08,yes
AT1G05675,45.12831205,2.204015323,0.355100865,6.206730371,5.41E-10,2.57E-08,yes
AT2G22430,1824.500605,0.581574478,0.09373667,6.2043433,5.49E-10,2.60E-08,yes
AT1G30370,29.7629687,2.418668512,0.389888939,6.203480702,5.52E-10,2.61E-08,yes
AT2G21790,2123.494628,1.06976526,0.172532309,6.200376418,5.63E-10,2.65E-08,yes
AT2G46430,163.6838707,0.889224191,0.143411003,6.200529743,5.63E-10,2.65E-08,yes
AT4G20860,876.2222231,0.574818376,0.092747273,6.197684899,5.73E-10,2.69E-08,yes
AT1G55850,1061.639998,0.33521042,0.054133156,6.192330948,5.93E-10,2.77E-08,yes
AT2G41730,36.92334304,0.849903048,0.137253346,6.192220976,5.93E-10,2.77E-08,yes
AT3G44260,241.7332506,1.866363472,0.301571376,6.188795165,6.06E-10,2.83E-08,yes
AT2G46690,213.3600282,-0.418694734,0.067705441,-6.184063287,6.25E-10,2.91E-08,yes
AT2G18190,6.587992184,2.327408053,0.376397761,6.183373801,6.27E-10,2.92E-08,yes
AT5G46780,209.4435049,0.735436387,0.118944195,6.183037238,6.29E-10,2.92E-08,yes
AT3G26830,132.8063249,1.074530514,0.173874461,6.179921465,6.41E-10,2.97E-08,yes
AT1G16670,119.0214123,0.475037027,0.076885152,6.178527512,6.47E-10,2.99E-08,yes
AT1G56520,158.8817808,0.751512105,0.121645068,6.177908544,6.50E-10,2.99E-08,yes
AT4G24690,3153.990456,0.556224738,0.090033201,6.177995806,6.49E-10,2.99E-08,yes
AT5G56780,167.2634411,0.880628501,0.142580027,6.176380507,6.56E-10,3.01E-08,yes
AT5G11690,133.1139093,-0.333943746,0.054128811,-6.169426932,6.85E-10,3.14E-08,yes
AT1G21270,386.0623005,0.924517671,0.149910427,6.167133862,6.95E-10,3.18E-08,yes
AT1G27940,86.47084511,1.6141659,0.261855069,6.16434849,7.08E-10,3.23E-08,yes
AT1G64620,107.3341252,0.749481726,0.12167692,6.15960468,7.29E-10,3.33E-08,yes
AT1G55450,817.6421169,1.216415358,0.197588617,6.156302806,7.45E-10,3.39E-08,yes
AT5G12890,171.6008277,0.467267147,0.075917186,6.154958757,7.51E-10,3.41E-08,yes
AT5G54720,86.33493378,1.451105166,0.235814802,6.153579656,7.58E-10,3.43E-08,yes
AT3G60470,11.77852353,2.507368436,0.407503572,6.152997444,7.60E-10,3.44E-08,yes
AT5G59420,1025.081147,0.604629796,0.098283218,6.151912914,7.66E-10,3.46E-08,yes
AT1G17147,37.51153241,1.461086296,0.237671392,6.147505948,7.87E-10,3.54E-08,yes
