"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G75830",5.99268137277134,-5.26166521423347,0.983102809504229,-5.35210067895838,8.69390020459493e-08,1.49363743879964e-05
"AT5G27030",684.389476353668,-1.62629338474746,0.304457420669879,-5.34161191134453,9.21237150025166e-08,1.57124339131466e-05
"AT1G78150",1266.29658339391,-1.04608798109631,0.195968945275463,-5.33802934758812,9.3962252502921e-08,1.59107160946853e-05
"AT3G04060",103.652814409395,-1.38323905490918,0.259454806488421,-5.33132946593115,9.749635097927e-08,1.6292561977353e-05
"AT3G07810",1086.77268068754,-0.828994842651565,0.155500675844172,-5.33113337386587,9.76017011006831e-08,1.6292561977353e-05
"AT5G09995",222.903393974659,-0.437406376365781,0.0820818597148157,-5.32890431436983,9.88070320624912e-08,1.63776134764426e-05
"AT5G42825",7.09559360562621,22.4719901292474,4.22464296020469,5.31926374392563,1.04188009335904e-07,1.71487634667075e-05
"AT3G01680",567.370961567043,-1.14106264945719,0.214805266780427,-5.31207947812367,1.08381312686746e-07,1.77150760882496e-05
"AT1G20750",113.852904131092,-6.81218616404597,1.29408372831176,-5.26410000760386,1.40877752648866e-07,2.28678597523887e-05
"AT2G02300",8.24900685487581,-3.35209910047532,0.638351157950702,-5.2511835511297,1.51124989123174e-07,2.4363211431453e-05
"AT5G43170",78.82152099539,-1.08391966685526,0.207441957212918,-5.22517084498355,1.73994381027468e-07,2.78592227635613e-05
"AT3G56250",42.7155467820397,-1.58585608532625,0.304065660141637,-5.21550537665958,1.83316742386226e-07,2.91535551725987e-05
"AT5G23910",508.969677676054,-2.26681804635423,0.4355136623755,-5.20492981549631,1.94069939709951e-07,3.0656538060088e-05
"AT1G75700",30.3769759855757,-2.53527254582124,0.48751719885189,-5.20037560068001,1.98886197670622e-07,3.10012214210161e-05
"AT3G18040",419.99463189298,-0.53975385247206,0.103772197867187,-5.20133391761507,1.97863239739158e-07,3.10012214210161e-05
"AT5G58610",73.4715858972254,-2.24973418896026,0.434139645598165,-5.18205193137923,2.19458088844821e-07,3.39827962969773e-05
"AT2G15490",548.945360770901,-1.60482380664904,0.310840152351738,-5.16285877003776,2.43206635348931e-07,3.74140821974365e-05
"AT1G04560",10.3692346267103,-5.71888364361053,1.10939353586728,-5.15496391381058,2.53679777036541e-07,3.87718241046044e-05
"AT5G37500",97.6373696050413,-1.13833665457832,0.221105745222273,-5.14838116682122,2.62744157244194e-07,3.98981240584297e-05
"AT1G09812",30.9162167052995,-1.29131153207612,0.252221150218663,-5.1197591120198,3.0592617220005e-07,4.61575917632857e-05
"AT2G30270",204.325776407867,-0.759966455538636,0.148936839650832,-5.10260898056051,3.35002714643484e-07,5.02226681182401e-05
"AT5G43440",199.392783044158,-1.20339341086735,0.235925933239931,-5.10072544523339,3.38354084696691e-07,5.04040512120634e-05
"AT5G50330",85.0614684505396,-1.23595773031884,0.242631040683942,-5.09398025427767,3.50623300296576e-07,5.19032743338397e-05
"AT3G57500",23.2946231090863,1.64444821965717,0.323256984849704,5.08712354791572,3.63535026215602e-07,5.34782744502288e-05
"AT3G55005",250.532589766631,-1.0320593272646,0.203255079200928,-5.07765577776464,3.82120178857593e-07,5.58631220482681e-05
"AT2G25940",67.0861582580128,-1.7678105945479,0.348316780293933,-5.07529551994626,3.86894220766415e-07,5.6211909099871e-05
"AT1G79820",224.417225737399,-1.12441235999008,0.221917058128166,-5.06681356302356,4.04530134987891e-07,5.80574743122561e-05
"AT3G19220",199.020781409123,-0.778624481083671,0.153644321492084,-5.06770750472406,4.02635472625066e-07,5.80574743122561e-05
"AT2G37240",595.617445980038,-1.21958777531415,0.241287868512672,-5.05449272204125,4.31536213341232e-07,6.15579869903792e-05
"AT1G23520",5.48514222640813,-5.1809478144627,1.02700771765777,-5.04470192909413,4.54228905176357e-07,6.44047333803368e-05
"AT1G21740",175.135832226748,0.588767405674888,0.116976919619169,5.03319293747591,4.82377200829442e-07,6.79863004546262e-05
"AT1G26570",151.0063777749,-0.595716228874612,0.118475202263031,-5.02819338980354,4.95122405680494e-07,6.89567814349218e-05
"AT1G66750",149.398613149819,-0.970617870629283,0.193028306161322,-5.02837065677868,4.94665002097673e-07,6.89567814349218e-05
"AT5G05160",232.482571448604,0.585766071398772,0.116722425260666,5.01845356700421,5.20890795276279e-07,7.21188626377516e-05
"AT1G52315",104.897962140931,-2.995118244352,0.598461368354045,-5.00469771773158,5.59497588802448e-07,7.70110803955743e-05
"AT5G09760",378.489105798121,-0.778136759730806,0.155624446802152,-5.00009333829193,5.73025672790336e-07,7.84145654678265e-05
"AT2G45480",64.4858176276717,0.801796898044468,0.160524696552896,4.9948507317705,5.88812913962464e-07,8.01091881845926e-05
"AT1G15580",30.7872281386706,-2.54369717104768,0.511577384198476,-4.97226274971686,6.61759317325058e-07,8.951625891885e-05
"AT1G17180",575.682188871056,-1.90777213086086,0.384374032087234,-4.96332210711854,6.92975128324955e-07,9.32031748307684e-05
"AT1G09176",6.74872155795453,-3.96588983788968,0.799660317290061,-4.95946810431901,7.06864520827134e-07,9.45310808335696e-05
