,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
AT3G14560,201.5242118,-2.034262847,0.247189385,-8.229572029,1.88E-16,1.48E-13,yes
AT1G30475,119.2552027,-2.606547965,0.321021941,-8.119532129,4.68E-16,3.56E-13,yes
AT5G24280,1193.313309,-4.039275887,0.501005551,-8.062337585,7.48E-16,5.51E-13,yes
AT2G31320,578.6916013,-2.521418815,0.31825698,-7.922587632,2.33E-15,1.66E-12,yes
AT4G02110,666.8509274,-2.832131,0.366387819,-7.729872153,1.08E-14,7.46E-12,yes
AT4G39500,23.80620355,-3.982204358,0.518013934,-7.687446405,1.50E-14,1.01E-11,yes
AT4G35740,256.4400929,-2.197595325,0.286485919,-7.670866794,1.71E-14,1.12E-11,yes
AT1G59660,384.5809458,-2.613434765,0.343069137,-7.617807858,2.58E-14,1.60E-11,yes
AT3G02400,347.059258,-2.127979855,0.279340981,-7.617857744,2.58E-14,1.60E-11,yes
AT2G46610,260.0100746,-2.409190049,0.316786413,-7.605092748,2.85E-14,1.70E-11,yes
AT5G22660,20.00041504,-2.47285656,0.325227797,-7.603460051,2.88E-14,1.70E-11,yes
AT1G51130,206.7917225,-2.392960401,0.315643379,-7.581215249,3.42E-14,1.97E-11,yes
AT2G36780,86.00733992,-4.01468606,0.530603838,-7.56625899,3.84E-14,2.15E-11,yes
AT5G49480,3297.739495,-2.626006713,0.347201945,-7.563341021,3.93E-14,2.15E-11,yes
AT2G30250,513.7259767,-2.813900621,0.377357384,-7.456858507,8.86E-14,4.75E-11,yes
AT1G29640,94.00084198,-2.106625075,0.283967684,-7.418538079,1.18E-13,6.20E-11,yes
AT5G64060,208.913796,-3.477417792,0.470412358,-7.392275593,1.44E-13,7.40E-11,yes
AT5G27760,807.475885,-1.92160622,0.260304077,-7.382159529,1.56E-13,7.81E-11,yes
AT4G29170,203.9113202,-2.702584042,0.366373039,-7.376590952,1.62E-13,7.98E-11,yes
AT5G49110,246.4095036,-2.872727937,0.390246248,-7.361321101,1.82E-13,8.76E-11,yes
AT5G18270,225.0264511,-2.207665997,0.300130456,-7.355688005,1.90E-13,8.96E-11,yes
AT1G20750,127.2006456,-6.51026565,0.886604048,-7.342923445,2.09E-13,9.66E-11,yes
AT1G08270,108.6450915,-3.082256535,0.421453927,-7.313389043,2.60E-13,1.18E-10,yes
AT5G07165,102.3804342,-6.316571147,0.87015238,-7.259155169,3.90E-13,1.73E-10,yes
AT1G08260,1584.221871,-2.724959551,0.385137382,-7.075292303,1.49E-12,6.51E-10,yes
AT1G13330,152.2136497,-2.73216708,0.393468038,-6.943809441,3.82E-12,1.64E-09,yes
AT1G10050,385.4579477,-1.576870145,0.229451673,-6.87234101,6.32E-12,2.66E-09,yes
AT3G58270,316.5336763,-3.40789912,0.4996422,-6.820679117,9.06E-12,3.75E-09,yes
AT5G66140,1044.942077,-1.806348115,0.265041312,-6.815345519,9.40E-12,3.82E-09,yes
AT1G17360,1343.18965,-1.70799447,0.252731331,-6.758142968,1.40E-11,5.58E-09,yes
AT5G56780,207.8669645,-1.540411851,0.230047666,-6.696055106,2.14E-11,8.41E-09,yes
AT4G37420,20.58525185,-4.439333886,0.663418606,-6.691602924,2.21E-11,8.53E-09,yes
AT5G24460,498.2019213,-1.18940392,0.179207758,-6.63701132,3.20E-11,1.22E-08,yes
AT1G44830,32.93689041,-2.286235307,0.344804065,-6.630534671,3.34E-11,1.25E-08,yes
AT3G45730,589.8624,-3.760967903,0.571896128,-6.576312935,4.82E-11,1.78E-08,yes
AT1G49980,387.4620928,-1.480694311,0.225237382,-6.573927904,4.90E-11,1.78E-08,yes
AT4G25330,79.72708397,-5.566043213,0.849880963,-6.549203305,5.78E-11,2.07E-08,yes
AT1G23000,233.9872988,-1.526617144,0.233187957,-6.546723785,5.88E-11,2.07E-08,yes
AT1G05490,120.4090415,-3.070780066,0.470621774,-6.524942608,6.80E-11,2.36E-08,yes
AT4G17905,41.43100128,-1.468601812,0.22529424,-6.518594582,7.10E-11,2.42E-08,yes
AT1G68240,31.44704099,-3.843455175,0.591724728,-6.495343181,8.28E-11,2.75E-08,yes
AT4G11740,551.9440473,-1.38067214,0.21250986,-6.496979193,8.19E-11,2.75E-08,yes
AT2G47680,587.9025622,-2.607805026,0.402529744,-6.478539948,9.26E-11,3.03E-08,yes
AT4G37490,509.2760026,-2.317688924,0.360157986,-6.435200696,1.23E-10,3.98E-08,yes
AT1G68200,98.34061692,-3.303632056,0.515706429,-6.406032325,1.49E-10,4.76E-08,yes
AT2G46180,459.7884216,-1.511845699,0.236502322,-6.392519476,1.63E-10,5.13E-08,yes
AT4G22960,272.023332,-4.762532888,0.746711713,-6.378007476,1.79E-10,5.56E-08,yes
AT3G17250,126.0549137,-1.207973077,0.1903044,-6.347583535,2.19E-10,6.70E-08,yes
AT3G10500,637.2230899,-1.778846399,0.282923824,-6.287368715,3.23E-10,9.76E-08,yes
AT3G54270,63.30182081,-1.222098393,0.195025057,-6.266366019,3.70E-10,1.10E-07,yes
AT2G41630,1134.987966,-1.548170254,0.248850277,-6.221292067,4.93E-10,1.45E-07,yes
AT1G66040,80.39133393,-4.52485972,0.727844673,-6.216793073,5.07E-10,1.48E-07,yes
AT1G76180,6818.951627,-1.679848299,0.270867549,-6.201733297,5.58E-10,1.61E-07,yes
AT1G14720,1082.857048,-1.110904992,0.181149021,-6.132547572,8.65E-10,2.43E-07,yes
AT1G60500,18.79405687,-4.865321736,0.793134227,-6.134298042,8.55E-10,2.43E-07,yes
AT1G01220,558.5734714,-1.046930894,0.171241681,-6.113762066,9.73E-10,2.70E-07,yes
AT2G18000,67.07190279,-2.371949683,0.391600178,-6.057069988,1.39E-09,3.80E-07,yes
AT4G38225,786.7379764,-0.796702391,0.132352653,-6.019542265,1.75E-09,4.74E-07,yes
AT4G37030,152.3752358,-3.071481432,0.511164497,-6.008792575,1.87E-09,5.01E-07,yes
AT1G09815,602.4059056,-1.790313704,0.301239833,-5.943150633,2.80E-09,7.41E-07,yes
AT5G51730,305.2410331,-1.628651187,0.274210385,-5.939421973,2.86E-09,7.49E-07,yes
AT5G45400,253.6685633,-1.285980641,0.217398844,-5.915305788,3.31E-09,8.58E-07,yes
AT5G14930,304.7488829,-1.82121569,0.308689824,-5.899824181,3.64E-09,9.32E-07,yes
