,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
AT3G19000,599.0349833,-0.320740578,0.071456503,-4.488612827,7.17E-06,0.00046354,yes
AT2G21520,1025.216262,0.126335492,0.02815619,4.486952608,7.22E-06,0.000465687,yes
AT3G10300,200.8808438,0.498087611,0.111069174,4.4844811,7.31E-06,0.000469631,yes
AT1G16880,4930.467527,-0.109781311,0.024499756,-4.480914379,7.43E-06,0.000474555,yes
AT1G63800,250.5137801,0.251851246,0.056203726,4.481041782,7.43E-06,0.000474555,yes
AT1G63680,1010.597968,-0.139400781,0.031135922,-4.477168948,7.56E-06,0.000479945,yes
AT3G17840,558.9807761,-0.228881654,0.051121659,-4.47719535,7.56E-06,0.000479945,yes
AT1G13880,324.0955064,0.21917259,0.048970503,4.475604243,7.62E-06,0.000481972,yes
AT1G52980,1354.550274,-0.142658202,0.031886243,-4.473973392,7.68E-06,0.000483992,yes
AT3G25250,23.67142946,1.910654411,0.427241421,4.472072037,7.75E-06,0.000483992,yes
AT3G54280,1530.877823,-0.136353542,0.03048951,-4.472146144,7.74E-06,0.000483992,yes
AT5G40850,1156.265586,-0.168095287,0.037587686,-4.472083902,7.75E-06,0.000483992,yes
AT1G55480,4591.444832,-0.122291569,0.027364746,-4.468945931,7.86E-06,0.000489617,yes
AT4G02340,458.773704,0.167570776,0.037505874,4.467854225,7.90E-06,0.000490621,yes
AT2G21560,317.7710575,-0.319104634,0.07143875,-4.466828366,7.94E-06,0.00049148,yes
AT1G57660,1982.619467,-0.198783861,0.044560512,-4.460986916,8.16E-06,0.000503541,yes
AT2G25840,886.8977693,-0.170682989,0.038288688,-4.457791492,8.28E-06,0.000509559,yes
AT1G60990,536.0581553,-0.152239024,0.034178809,-4.454193361,8.42E-06,0.000511992,yes
AT2G42040,88.96763837,0.359431052,0.080684827,4.454753932,8.40E-06,0.000511992,yes
AT3G52400,134.6571113,0.831704519,0.186717892,4.454337554,8.42E-06,0.000511992,yes
AT5G62790,2844.678136,-0.159811408,0.035873858,-4.454815167,8.40E-06,0.000511992,yes
AT2G30440,1630.84471,0.203477359,0.045699912,4.452467243,8.49E-06,0.00051459,yes
AT3G15190,3324.315158,-0.212187693,0.047687145,-4.449578421,8.60E-06,0.000520013,yes
AT5G49910,8396.030491,-0.278966641,0.062717059,-4.448018536,8.67E-06,0.000522253,yes
AT3G02450,1633.701893,-0.139416775,0.031356999,-4.446113509,8.74E-06,0.000525349,yes
AT2G35370,5386.099634,-0.127717756,0.028731468,-4.445222048,8.78E-06,0.00052598,yes
AT1G51440,386.4865689,-0.303751614,0.06842267,-4.43934172,9.02E-06,0.000534272,yes
AT3G27770,1224.151039,0.169163573,0.038093244,4.440776255,8.96E-06,0.000534272,yes
AT5G13120,2037.697285,-0.14650631,0.032999831,-4.439607853,9.01E-06,0.000534272,yes
AT5G48600,349.7588018,-0.228903702,0.05155371,-4.440101448,8.99E-06,0.000534272,yes
AT5G41880,165.8008105,-0.256432884,0.057786723,-4.437574437,9.10E-06,0.000537115,yes
AT3G24460,802.6836598,-0.350047302,0.07892361,-4.435267217,9.20E-06,0.000541331,yes
AT1G05190,4777.683295,-0.185512818,0.041851479,-4.432646657,9.31E-06,0.000544805,yes
AT1G44575,33662.22472,-0.166248689,0.037501701,-4.433097325,9.29E-06,0.000544805,yes
AT1G01090,2745.295879,-0.142538191,0.032171771,-4.430536053,9.40E-06,0.000548589,yes
AT1G50900,1932.228492,-0.171301083,0.038676186,-4.429110016,9.46E-06,0.00055065,yes
AT2G28840,1378.481804,0.326449224,0.073715965,4.428473878,9.49E-06,0.000550703,yes
AT2G26650,94.91896565,0.356698625,0.080590857,4.42604331,9.60E-06,0.000555359,yes
AT1G04020,147.0399793,-0.261974435,0.059241683,-4.422130192,9.77E-06,0.000563539,yes
AT1G33230,500.1770029,0.174985222,0.039574527,4.421662972,9.79E-06,0.000563539,yes
AT1G15500,3396.986037,-0.169164597,0.038264636,-4.420912288,9.83E-06,0.000563907,yes
AT4G28210,526.2046813,-0.234417535,0.053057461,-4.418182294,9.95E-06,0.000567876,yes
AT5G48930,4401.93542,-0.171379913,0.03878572,-4.418634311,9.93E-06,0.000567876,yes
AT5G41800,141.9790236,0.298586353,0.06762458,4.415352404,1.01E-05,0.000573749,yes
AT2G36000,899.6195117,-0.200520357,0.04548646,-4.408352626,1.04E-05,0.000590955,yes
AT5G23510,189.1389786,0.414233631,0.094102145,4.401957383,1.07E-05,0.000606959,yes
AT2G21530,1245.37231,-0.168727402,0.038336969,-4.401166936,1.08E-05,0.000607487,yes
AT3G52150,3747.17258,-0.183657809,0.041751328,-4.398849572,1.09E-05,0.000612313,yes
AT5G48020,640.2173375,0.209859837,0.047721052,4.397636444,1.09E-05,0.000614048,yes
AT1G20470,67.7031707,-0.473050378,0.107645189,-4.394533407,1.11E-05,0.000616941,yes
AT1G74730,3610.885308,-0.167278036,0.038059344,-4.395189644,1.11E-05,0.000616941,yes
AT2G27420,1290.675851,-0.545083275,0.124111614,-4.391879682,1.12E-05,0.000616941,yes
AT2G45440,574.8675724,-0.200728265,0.045695429,-4.392742768,1.12E-05,0.000616941,yes
AT3G51280,90.94284968,-0.400559205,0.091194356,-4.392368366,1.12E-05,0.000616941,yes
AT4G04745,14.10874879,0.997081645,0.226945781,4.393479529,1.12E-05,0.000616941,yes
AT4G13710,87.1151857,-0.359682516,0.081857393,-4.394013795,1.11E-05,0.000616941,yes
AT5G11800,370.3319835,0.172481687,0.039263579,4.392918166,1.12E-05,0.000616941,yes
AT3G02460,228.0792069,0.218563504,0.049776572,4.390891071,1.13E-05,0.000618087,yes
AT1G60590,883.2963667,-0.579955087,0.132115037,-4.38977348,1.13E-05,0.000618315,yes
AT4G00895,1766.881581,-0.117440353,0.026753951,-4.389645171,1.14E-05,0.000618315,yes
AT1G48030,5237.933237,-0.197737578,0.045121952,-4.382292246,1.17E-05,0.000637856,yes
AT1G57770,1008.496764,-0.208503761,0.047603664,-4.379994009,1.19E-05,0.000640149,yes
AT2G18750,1039.526855,0.136565993,0.031181056,4.37977441,1.19E-05,0.000640149,yes
AT2G31610,2791.637018,-0.166675333,0.038049582,-4.380477378,1.18E-05,0.000640149,yes
AT4G34730,1052.735055,-0.152757977,0.034899169,-4.377123606,1.20E-05,0.000646272,yes
AT5G52970,869.3354243,-0.160254581,0.03662612,-4.375417874,1.21E-05,0.000649632,yes
AT4G38160,691.7904613,-0.169349666,0.038730763,-4.372484579,1.23E-05,0.000656697,yes
